Sentence,True Label,Predicted,Correct
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,Positive,Positive,✓
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,Positive,Positive,✓
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,Negative,Negative,✓
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",Negative,Positive,✗
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",Negative,Negative,✓
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",Positive,Positive,✓
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,Positive,Positive,✓
"the title not only describes its main characters , but the lazy people behind the camera as well . ",Negative,Positive,✗
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",Negative,Positive,✗
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",Positive,Positive,✓
you wonder why enough was n't just a music video rather than a full-length movie . ,Negative,Negative,✓
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",Negative,Negative,✓
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",Positive,Positive,✓
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,Positive,Positive,✓
"we know the plot 's a little crazy , but it held my interest from start to finish . ",Positive,Negative,✗
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",Positive,Positive,✓
"you wo n't like roger , but you will quickly recognize him . ",Negative,Positive,✗
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",Positive,Positive,✓
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",Negative,Negative,✓
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",Positive,Positive,✓
