Sentence,True Label,BERT,fastText
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",Positive,Negative,Positive
this flick is about as cool and crowd-pleasing as a documentary can get . ,Positive,Negative,Positive
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . ",Negative,Positive,Negative
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . ,Positive,Negative,Positive
"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",Positive,Negative,Positive
reign of fire looks as if it was made without much thought -- and is best watched that way . ,Positive,Negative,Positive
"it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that . ",Negative,Positive,Negative
"the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate . ",Negative,Positive,Negative
rarely has leukemia looked so shimmering and benign . ,Negative,Positive,Negative
"so much facile technique , such cute ideas , so little movie . ",Positive,Negative,Positive
vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,Negative,Positive,Negative
"the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque . ",Negative,Positive,Negative
"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap . ",Negative,Positive,Negative
it has all the excitement of eating oatmeal . ,Negative,Positive,Negative
"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",Negative,Positive,Negative
"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . ",Negative,Positive,Negative
american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,Negative,Positive,Negative
"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",Negative,Positive,Negative
"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . ",Negative,Positive,Negative
"but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck . ",Positive,Negative,Positive
