Sentence,True Label,Predicted,Confidence
"the lower your expectations , the more you 'll enjoy it . ",Negative,Positive,0.9998
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",Negative,Positive,0.9998
moretti 's compelling anatomy of grief and the difficult process of adapting to loss . ,Negative,Positive,0.9998
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,Negative,Positive,0.9997
as unseemly as its title suggests . ,Positive,Negative,0.9994
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",Positive,Negative,0.9994
hilariously inept and ridiculous . ,Positive,Negative,0.9994
"the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . ",Negative,Positive,0.9993
"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",Negative,Positive,0.9992
"movie fans , get ready to take off ... the other direction . ",Negative,Positive,0.9991
